Date,Price
1/1/2012,99
1/2/2012,95
1/3/2012,96
1/4/2012,95
1/5/2012,93
1/6/2012,93
1/7/2012,95
1/8/2012,96
1/9/2012,98
1/10/2012,98
1/11/2012,93
1/12/2012,91
1/13/2012,100
1/14/2012,99
1/15/2012,98
1/16/2012,99
1/17/2012,99
1/18/2012,95
1/19/2012,98
1/20/2012,100
1/21/2012,102
1/22/2012,101
1/23/2012,95
1/24/2012,92
1/25/2012,95
1/26/2012,103
1/27/2012,99
1/28/2012,101
1/29/2012,99
1/30/2012,100
1/31/2012,104
2/1/2012,102
2/2/2012,109
2/3/2012,104
2/4/2012,106
2/5/2012,105
2/6/2012,106
2/7/2012,105
2/8/2012,105
2/9/2012,104
2/10/2012,112
2/11/2012,114
2/12/2012,113
2/13/2012,116
2/14/2012,121
2/15/2012,107
2/16/2012,113
2/17/2012,119
2/18/2012,118
2/19/2012,117
2/20/2012,117
2/21/2012,112
2/22/2012,106
2/23/2012,110
2/24/2012,115
2/25/2012,119
2/26/2012,118
2/27/2012,119
2/28/2012,106
2/29/2012,114
3/1/2012,123
3/2/2012,119
3/3/2012,124
3/4/2012,123
3/5/2012,121
3/6/2012,121
3/7/2012,133
3/8/2012,126
3/9/2012,128
3/10/2012,125
3/11/2012,132
3/12/2012,130
3/13/2012,127
3/14/2012,134
3/15/2012,134
3/16/2012,133
3/17/2012,134
3/18/2012,131
3/19/2012,134
3/20/2012,129
3/21/2012,128
3/22/2012,129
3/23/2012,124
3/24/2012,133
3/25/2012,135
3/26/2012,126
3/27/2012,127
3/28/2012,122
3/29/2012,120
3/30/2012,121
3/31/2012,117
4/1/2012,119
4/2/2012,113
4/3/2012,113
4/4/2012,114
4/5/2012,104
4/6/2012,113
4/7/2012,115
4/8/2012,118
4/9/2012,121
4/10/2012,113
4/11/2012,111
4/12/2012,117
4/13/2012,116
4/14/2012,117
4/15/2012,109
4/16/2012,113
4/17/2012,107
4/18/2012,107
4/19/2012,108
4/20/2012,104
4/21/2012,102
4/22/2012,108
4/23/2012,92
4/24/2012,103
4/25/2012,98
4/26/2012,104
4/27/2012,97
4/28/2012,99
4/29/2012,107
4/30/2012,107
5/1/2012,100
5/2/2012,98
5/3/2012,103
5/4/2012,98
5/5/2012,97
5/6/2012,98
5/7/2012,98
5/8/2012,88
5/9/2012,94
5/10/2012,97
5/11/2012,103
5/12/2012,101
5/13/2012,101
5/14/2012,98
5/15/2012,93
5/16/2012,98
5/17/2012,97
5/18/2012,97
5/19/2012,93
5/20/2012,98
5/21/2012,93
5/22/2012,92
5/23/2012,99
5/24/2012,99
5/25/2012,97
5/26/2012,84
5/27/2012,92
5/28/2012,93
5/29/2012,107
5/30/2012,93
5/31/2012,100
6/1/2012,104
6/2/2012,102
6/3/2012,97
6/4/2012,100
6/5/2012,98
6/6/2012,102
6/7/2012,109
6/8/2012,101
6/9/2012,93
6/10/2012,106
6/11/2012,101
6/12/2012,98
6/13/2012,91
6/14/2012,104
6/15/2012,98
6/16/2012,92
6/17/2012,89
6/18/2012,101
6/19/2012,85
6/20/2012,91
6/21/2012,91
6/22/2012,96
6/23/2012,91
6/24/2012,99
6/25/2012,97
6/26/2012,96
6/27/2012,95
6/28/2012,94
6/29/2012,96
6/30/2012,95
7/1/2012,99
